Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,88,1.67
Cultivating/Manufacturing/Publishing,152,2.88
Distributing/Selling,"1,667",31.62
Exploiting Children,5,0.09
Operating/Promoting/Assisting,18,0.34
Possessing/Concealing,"11,779",223.43
Transporting/Transmitting/Importing,105,1.99
Using/Consuming,"1,565",29.69
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
