Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,129,2.29
Cultivating/Manufacturing/Publishing,408,7.26
Distributing/Selling,"1,961",34.88
Exploiting Children,6,0.11
Operating/Promoting/Assisting,20,0.36
Possessing/Concealing,"18,288",325.31
Transporting/Transmitting/Importing,187,3.33
Using/Consuming,"2,829",50.32
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
