"Violent Crime Clearance"
"Current date: 9/3/2019 5:27:31 PM (Mountain Daylight Time)"
"Jurisdiction by Geography: Colorado"
"Incident Date: 2014"
"Offense Type","Number of Crimes","Number of Offenses","Crime Rate (per 100,000)",
"Violent Crime","18,814","16,523","350.63"
"Murder","151","136","2.81"
"Aggravated Assault","10,148","8,234","189.12"
"Non-consensual Sex Offenses","5,481","5,119","102.15"
"Robbery","3,034","3,034","56.54"
