Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
All Offense Types,"255,803","5,087.31"
Violent Crime,"17,607",350.16
Murder,126,2.51
Aggravated Assault,"9,785",194.6
Non-consensual Sex Offenses,"4,641",92.3
Robbery,"3,055",60.76
