Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
All Offense Types,"262,213","5,302.99"
Violent Crime,"17,737",358.71
Murder,138,2.79
Aggravated Assault,"10,095",204.16
Non-consensual Sex Offenses,"4,465",90.3
Robbery,"3,039",61.46
