Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
Violent Crime,"17,436",346.5
Murder,93,1.85
Aggravated Assault,"9,707",192.91
Non-consensual Sex Offenses,"4,687",93.14
Robbery,"2,949",58.61
