Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
Violent Crime,"18,475",350.44
Murder,175,3.32
Aggravated Assault,"9,713",184.24
Non-consensual Sex Offenses,"5,435",103.09
Robbery,"3,152",59.79
