Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
All Offense Types,"312,291","5,710.84"
Violent Crime,"19,947",364.77
Murder,173,3.16
Aggravated Assault,"10,611",194.04
Non-consensual Sex Offenses,"5,835",106.7
Robbery,"3,328",60.86
