Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
Violent Crime,"23,343",415.22
Murder,218,3.88
Aggravated Assault,"12,780",227.33
Non-consensual Sex Offenses,"6,513",115.85
Robbery,"3,832",68.16
