Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
Violent Crime,"18,814",350.63
Murder,151,2.81
Aggravated Assault,"10,148",189.12
Non-consensual Sex Offenses,"5,481",102.15
Robbery,"3,034",56.54
