Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
Violent Crime,"17,358",339.05
Murder,139,2.72
Aggravated Assault,"9,131",178.35
Non-consensual Sex Offenses,"4,892",95.55
Robbery,"3,196",62.43
