Offense Type,Number of Crimes,"Crime Rate (per 100,000)"
All Offense Types,"299,977","5,778.48"
Violent Crime,"19,243",370.68
Murder,162,3.12
Aggravated Assault,"10,180",196.1
Non-consensual Sex Offenses,"5,546",106.83
Robbery,"3,355",64.63
